Series,n,Term,Label,Obs,Obs_unc,Calc,Obs-Calc,nu_S,New,
5snp,5,3P0,5s5p,14317.52,,17812.12,-3494.6,1.863,FALSE,
5snp,5,3P1,5s5p,14504.35,,18220,-3715.65,1.869,FALSE,
5snp,5,3P2,5s5p,14898.56,,19186.91,-4288.35,1.88,FALSE,
5snp,6,3P0,5s6p,33853.52,,34000.52,-147,3.014,FALSE,
5snp,6,3P1,5s6p,33868.33,,34073.68,-205.34,3.016,FALSE,
5snp,6,3P2,5s6p,33973.08,,34253.73,-280.65,3.029,FALSE,
4dnp,5,3P0,4d5p,37292.11,,37292.11,0,3.564,FALSE,
4dnp,5,3P1,4d5p,37302.76,,37302.77,-0.01,3.566,FALSE,
4dnp,5,3P2,4d5p,37336.62,,37336.46,0.15,3.573,FALSE,
5snp,7,3P0,5s7p,39411.7,,39411.62,0.08,4.102,FALSE,
5snp,7,3P1,5s7p,39426.47,,39426.23,0.24,4.107,FALSE,
5snp,7,3P2,5s7p,39457.41,,39458.29,-0.88,4.117,FALSE,
5snp,8,3P0,5s8p,41712.05,0.05,41712.43,-0.38,5.099,TRUE,
5snp,8,3P1,5s8p,41719.71,0.05,41720.54,-0.82,5.104,TRUE,
5snp,8,3P2,5s8p,41735.98,0.05,41738.49,-2.51,5.114,TRUE,
5snp,9,3P0,5s9p,42985.86,0.07,42985.79,0.08,6.103,TRUE,
5snp,9,3P1,5s9p,42990.26,0.07,42990.32,-0.07,6.107,TRUE,
5snp,9,3P2,5s9p,42999.79,0.07,43000.29,-0.49,6.117,TRUE,
5snp,10,3P0,5s10p,43758.65,0.07,43758.57,0.09,7.105,TRUE,
5snp,10,3P1,5s10p,43761.47,0.07,43761.35,0.12,7.11,TRUE,
5snp,10,3P2,5s10p,43767.58,0.07,43767.4,0.18,7.12,TRUE,
5snp,11,3P0,5s11p,44262.7,0.07,44262.56,0.15,8.107,TRUE,
5snp,11,3P1,5s11p,44264.52,0.07,44264.38,0.14,8.112,TRUE,
5snp,11,3P2,5s11p,44268.72,0.07,44268.33,0.39,8.122,TRUE,
5snp,12,3P0,5s12p,44609.51,0.04,44609.46,0.05,9.109,TRUE,
5snp,12,3P1,5s12p,44610.85,0.04,44610.72,0.13,9.113,TRUE,
5snp,12,3P2,5s12p,44613.78,0.04,44613.44,0.34,9.123,TRUE,
5snp,13,3P0,5s13p,44858.33,0.03,44858.42,-0.09,10.109,TRUE,
5snp,13,3P1,5s13p,44859.32,0.03,44859.33,-0.01,10.114,TRUE,
5snp,13,3P2,5s13p,44861.46,0.03,44861.29,0.18,10.124,TRUE,
5snp,14,3P0,5s14p,45043.18,0.02,45043.14,0.04,11.11,TRUE,
5snp,14,3P1,5s14p,45043.89,0.02,45043.82,0.07,11.115,TRUE,
5snp,14,3P2,5s14p,45045.54,0.02,45045.28,0.26,11.125,TRUE,
5snp,15,3P0,5s15p,45183.93,0.02,45183.97,-0.04,12.11,TRUE,
5snp,15,3P1,5s15p,45184.54,0.02,45184.49,0.05,12.115,TRUE,
5snp,15,3P2,5s15p,45185.79,0.02,45185.61,0.19,12.125,TRUE,
5snp,16,3P1,5s16p,45294.22,0.02,45294.21,0.01,13.115,TRUE,
5snp,16,3P2,5s16p,45295.21,0.02,45295.08,0.13,13.125,TRUE,
5snp,17,3P1,5s17p,45381.46,0.03,45381.43,0.04,14.116,TRUE,
5snp,17,3P2,5s17p,45382.26,0.03,45382.12,0.14,14.126,TRUE,
5snp,18,3P1,5s18p,45451.87,0.01,45451.91,-0.03,15.115,TRUE,
5snp,18,3P2,5s18p,45452.53,0.01,45452.47,0.06,15.126,TRUE,
5snp,19,3P1,5s19p,45509.65,0.02,45509.67,-0.02,16.116,TRUE,
5snp,19,3P2,5s19p,45510.2,0.02,45510.13,0.07,16.126,TRUE,
5snp,20,3P1,5s20p,45557.62,0.02,45557.61,0.01,17.116,TRUE,
5snp,20,3P2,5s20p,45558,0.02,45557.99,0.01,17.125,TRUE,
5snp,21,3P1,5s21p,45597.81,0.02,45597.83,-0.01,18.116,TRUE,
5snp,21,3P2,5s21p,45598.17,0.02,45598.15,0.02,18.126,TRUE,
5snp,22,3P1,5s22p,45631.86,0.02,45631.90,-0.04,19.115,TRUE,
5snp,22,3P2,5s22p,45632.15,0.02,45632.17,-0.02,19.125,TRUE,
5snp,23,3P2,5s23p,45661.22,0.03,45661.25,-0.03,20.124,TRUE,
5snp,24,3P2,5s24p,45686.25,0.02,45686.29,-0.04,21.124,TRUE,
5snp,25,3P2,5s25p,45707.96,0.02,45708.02,-0.06,22.122,TRUE,
5snp,26,3P2,5s26p,45726.94,0.02,45726.99,-0.05,23.123,TRUE,
5snp,27,3P2,5s27p,45743.60,0.02,45743.65,-0.05,24.122,TRUE,
5snp,28,3P2,5s28p,45758.33,0.02,45758.36,-0.02,25.124,TRUE,
5snp,29,3P2,5s29p,45771.41,0.02,45771.41,0,26.126,TRUE,
5snp,30,3P2,5s30p,45782.99,0.02,45783.05,-0.06,27.12,TRUE,
5snp,31,3P2,5s31p,45793.45,0.02,45793.46,-0.01,28.124,TRUE,
5snp,32,3P2,5s32p,45802.83,0.02,45802.83,0.01,29.126,TRUE,
5snp,33,3P2,5s33p,45811.27,0.02,45811.27,0,30.125,TRUE,
5snp,34,3P2,5s34p,45818.91,0.02,45818.92,-0.01,31.124,TRUE,
5snp,35,3P2,5s35p,45825.83,0.02,45825.86,-0.03,32.121,TRUE,
5snp,36,3P2,5s36p,45832.16,0.02,45832.18,-0.02,33.122,TRUE,
5snp,37,3P2,5s37p,45837.93,0.02,45837.96,-0.03,34.121,TRUE,
5snp,38,3P2,5s38p,45843.22,0.02,45843.25,-0.03,35.121,TRUE,
5snp,39,3P2,5s39p,45848.05,0.02,45848.10,-0.05,36.115,TRUE,
5snp,40,3P2,5s40p,45852.56,0.02,45852.57,-0.01,37.123,TRUE,
5snp,41,3P2,5s41p,45856.68,0.02,45856.69,-0.01,38.122,TRUE,
5snp,42,3P2,5s42p,45860.54,0.02,45860.50,0.03,39.135,TRUE,
5snp,43,3P2,5s43p,45864.04,0.02,45864.03,0.01,40.128,TRUE,
5snp,44,3P2,5s44p,45867.26,0.02,45867.30,-0.04,41.113,TRUE,
5snp,45,3P2,5s45p,45870.30,0.03,45870.35,-0.05,42.108,TRUE,
5snp,46,3P2,5s46p,45873.13,0.03,45873.18,-0.05,43.106,TRUE,
5snp,47,3P2,5s47p,45875.77,0.03,45875.83,-0.06,44.102,TRUE,
5snp,48,3P2,5s48p,45878.26,0.03,45878.30,-0.03,45.112,TRUE,
5snp,49,3P2,5s49p,45880.56,0.02,45880.61,-0.04,46.106,TRUE,
5snp,50,3P2,5s50p,45882.75,0.02,45882.77,-0.02,47.115,TRUE,
5snp,51,3P2,5s51p,45884.82,0.02,45884.81,0.01,48.13,TRUE,
5snp,52,3P2,5s52p,45886.71,0.02,45886.72,-0.01,49.122,TRUE,
5snp,53,3P2,5s53p,45888.43,0.03,45888.51,-0.08,50.081,TRUE,
5snp,54,3P2,5s54p,45890.18,0.02,45890.20,-0.02,51.113,TRUE,
5snp,55,3P2,5s55p,45891.80,0.03,45891.80,0,52.128,TRUE,
5snp,56,3P2,5s56p,45893.28,0.02,45893.31,-0.02,53.111,TRUE,
5snp,57,3P2,5s57p,45894.70,0.02,45894.73,-0.03,54.103,TRUE,
5snp,58,3P2,5s58p,45896.01,0.02,45896.08,-0.06,55.076,TRUE,
5snp,59,3P2,5s59p,45897.30,0.02,45897.35,-0.05,56.084,TRUE,
5snp,60,3P2,5s60p,45898.50,0.02,45898.56,-0.06,57.078,TRUE,
