n,Series,Term,E_obs,E_obs_stat,E_obs_sys,E_calc,DeltaE,delta_obs,delta_calc
10,5snd,1D2,44239.4549,0.001,0,44239.4549,-0.00005,1.94844,1.94844
11,5snd,1D2,44578.6890,0.001,0,44578.6889,0.00006,1.99580,1.99580
12,5snd,1D2,44829.6648,0.001,0,44829.6648,0.00002,2.02346,2.02346
13,5snd,1D2,45012.0249,0.001,0,45012.0249,-0.00003,2.07954,2.07954
14,5snd,1D2,45153.2785,0.001,0,45153.2785,-0.00004,2.13058,2.13058
15,5snd,1D2,45263.6196,0.001,0,45263.6196,0.00001,2.18851,2.18851
16,5snd,1D2,45362.1272,0.001,0,45362.1271,0.00012,2.12569,2.12569
17,5snd,1D2,45433.2717,0.001,0,45433.2715,0.00017,2.16944,2.16944
18,5snd,1D2,45492.6101,0.001,0,45492.6201,-0.01004,2.20015,2.19997
19,5snd,1D2,45542.2955,0.001,0,45542.2711,0.02438,2.22364,2.22417
20,5snd,1D2,45584.1831,0.001,0,45584.1782,0.00485,2.24271,2.24283
21,5snd,1D2,45619.7872,0.001,0,45619.7890,-0.00183,2.25814,2.25809
22,5snd,1D2,45650.2617,0.001,0,45650.2709,-0.00919,2.27122,2.27090
23,5snd,1D2,45676.5325,0.001,0,45676.5461,-0.01355,2.28239,2.28184
24,5snd,1D2,45699.3308,0.001,0,45699.3442,-0.01336,2.29192,2.29129
25,5snd,1D2,45719.2336,0.001,0,45719.2462,-0.01259,2.30020,2.29952
26,5snd,1D2,45736.7165,0.001,0,45736.7182,-0.00173,2.30685,2.30675
28,5snd,1D2,45765.8106,0.001,0,45765.8110,-0.00043,2.31880,2.31876
29,5snd,1D2,45777.9907,0.001,0,45777.9913,-0.00063,2.32385,2.32380
30,5snd,1D2,45788.8895,0.001,0,45788.8870,0.00252,2.32806,2.32831
31,5snd,1D2,45798.6753,0.001,0,45798.6716,0.00368,2.33196,2.33236
32,5snd,1D2,45807.4942,0.001,0,45807.4907,0.00349,2.33559,2.33601
33,5snd,1D2,45815.4703,0.001,0,45815.4667,0.00359,2.33884,2.33932
34,5snd,1D2,45822.7079,0.001,0,45822.7034,0.00450,2.34167,2.34232
35,5snd,1D2,45829.2918,0.001,0,45829.2891,0.00268,2.34463,2.34505
36,5snd,1D2,45835.3098,0.001,0,45835.2944,0.01039,2.34575,2.34755
37,5snd,1D2,45840.8107,0.001,0,45840.7993,0.01144,2.34767,2.34984
38,5snd,1D2,45845.8526,0.001,0,45845.8447,0.00787,2.35031,2.35193
39,5snd,1D2,45850.4882,0.001,0,45850.4844,0.00379,2.35301,2.35386
40,5snd,1D2,45854.7641,0.001,0,45854.7606,0.00352,2.35479,2.35564
42,5snd,1D2,45862.3725,0.001,0,45862.3656,0.00694,2.35684,2.35881
43,5snd,1D2,45865.7610,0.001,0,45865.7552,0.00579,2.35845,2.36022
44,5snd,1D2,45868.9075,0.001,0,45868.9042,0.00328,2.36046,2.36154
45,5snd,1D2,45871.8381,0.001,0,45871.8348,0.00329,2.36160,2.36276
46,5snd,1D2,45874.5690,0.001,0,45874.5667,0.00230,2.36303,2.36390
47,5snd,1D2,45877.1177,0.001,0,45877.1174,0.00028,2.36485,2.36496
48,5snd,1D2,45879.5076,0.001,0,45879.5026,0.00496,2.36381,2.36596
49,5snd,1D2,45881.7351,0.001,0,45881.7364,-0.00125,2.36747,2.36689
50,5snd,1D2,45883.8322,0.001,0,45883.8311,0.00110,2.36723,2.36777
51,5snd,1D2,45885.7953,0.001,0,45885.7982,-0.00288,2.37010,2.36859
52,5snd,1D2,45887.6482,0.001,0,45887.6477,0.00046,2.36911,2.36936
53,5snd,1D2,45889.3906,0.001,0,45889.3889,0.00165,2.36912,2.37009
54,5snd,1D2,45891.0300,0.001,0,45891.0301,-0.00011,2.37084,2.37078
55,5snd,1D2,45892.5800,0.001,0,45892.5787,0.00128,2.37058,2.37143
56,5snd,1D2,45894.0409,0.001,0,45894.0416,-0.00073,2.37255,2.37204
57,5snd,1D2,45895.4215,0.001,0,45895.4250,-0.00352,2.37523,2.37262
58,5snd,1D2,45896.7331,0.001,0,45896.7346,-0.00146,2.37431,2.37317
59,5snd,1D2,45897.9755,0.001,0,45897.9754,0.00009,2.37361,2.37369
60,5snd,1D2,45899.1528,0.001,0,45899.1523,0.00051,2.37373,2.37418
61,5snd,1D2,45900.2719,0.001,0,45900.2695,0.00239,2.37245,2.37465
62,5snd,1D2,45901.3328,0.001,0,45901.3310,0.00175,2.37340,2.37509
63,5snd,1D2,45902.3404,0.001,0,45902.3405,-0.00013,2.37565,2.37551
64,5snd,1D2,45903.3024,0.001,0,45903.3013,0.00109,2.37475,2.37592
65,5snd,1D2,45904.2175,0.001,0,45904.2165,0.00103,2.37514,2.37630
66,5snd,1D2,45905.0896,0.001,0,45905.0888,0.00076,2.37578,2.37667
67,5snd,1D2,45905.9232,0.001,0,45905.9211,0.00214,2.37438,2.37702
68,5snd,1D2,45906.7247,0.001,0,45906.7155,0.00915,2.36557,2.37735
69,5snd,1D2,45907.4771,0.001,0,45907.4746,0.00254,2.37424,2.37767
70,5snd,1D2,45908.1945,0.001,0,45908.2002,-0.00566,2.38595,2.37797
74,5snd,1D2,45910.8054,0.001,0,45910.8052,0.00023,2.37868,2.37906
75,5snd,1D2,45911.3891,0.001,0,45911.3901,-0.00105,2.38113,2.37931
79,5snd,1D2,45913.5019,0.001,0,45913.5056,-0.00368,2.38773,2.38019
80,5snd,1D2,45913.9752,0.001,0,45913.9840,-0.00883,2.39920,2.38039
84,5snd,1D2,45915.7197,0.001,0,45915.7253,-0.00556,2.39489,2.38112