Series,n,Term,Label,E_exp,E_exp_unc,Isotope,Ref
5sns,10,1S0,5s10s,43512.0,0.18,88,esh_1977
5sns,11,1S0,5s11s,44096.84,0.17,88,esh_1977
5sns,12,1S0,5s12s,44492.83,0.18,88,esh_1977
4dnd,4,3P0,4d4d,44525.83,0.11,88,esh_1977
5sns,13,1S0,5s13s,44773.36,0.11,88,esh_1977
5sns,14,1S0,5s14s,44979.25,0.16,88,esh_1977
5sns,15,1S0,5s15s,45134.88,0.11,88,esh_1977
5sns,16,1S0,5s16s,45255.31,0.1,88,esh_1977
5sns,17,1S0,5s17s,45350.35,0.07,88,esh_1977
5sns,18,1S0,5s18s,45426.52,0.07,88,esh_1977
5sns,19,1S0,5s19s,45488.74,0.07,88,esh_1977
5sns,20,1S0,5s20s,45540.1,0.07,88,esh_1977
5sns,21,1S0,5s21s,45583.18,0.12,88,esh_1977
5snd,9,1D2,5s9d,43755.88,0.15,88,esh_1977
5snd,9,3D2,5s9d,43804.89,0.22,88,esh_1977
5snd,10,1D2,5s10d,44241.7,0.11,88,esh_1977
5snd,10,3D2,5s10d,44287.05,0.2,88,esh_1977
5snd,11,1D2,5s11d,44578.58,0.11,88,esh_1977
5snd,11,3D2,5s11d,44620.08,0.16,88,esh_1977
4dnd,4,3P2,4d4d,44729.56,0.11,88,esh_1977
5snd,12,1D2,5s12d,44829.4,0.11,88,esh_1977
5snd,12,3D2,5s12d,44860.28,0.2,88,esh_1977
5snd,13,1D2,5s13d,45011.77,0.11,88,esh_1977
5snd,13,3D2,5s13d,45036.85,0.11,88,esh_1977
5snd,14,1D2,5s14d,45153.1,0.11,88,esh_1977
5snd,14,3D2,5s14d,45171.54,0.13,88,esh_1977
5snd,15,1D2,5s15d,45263.62,0.14,88,esh_1977
5snd,15,3D2,5s15d,45276.62,0.12,88,esh_1977
5snd,16,3D2,5s16d,45350.35,0.07,88,esh_1977
5snd,16,1D2,5s16d,45362.03,0.06,88,esh_1977
5snd,17,3D2,5s17d,45420.78,0.07,88,esh_1977
5snd,17,1D2,5s17d,45433.14,0.08,88,esh_1977
5snd,18,3D2,5s18d,45479.88,0.07,88,esh_1977
5snd,18,1D2,5s18d,45492.48,0.06,88,esh_1977
5snd,19,3D2,5s19d,45530.17,0.08,88,esh_1977
5snd,19,1D2,5s19d,45542.12,0.06,88,esh_1977
5snd,20,1D2,5s20d,45584.17,0.06,88,esh_1977
5snd,21,1D2,5s21d,45619.6,0.06,88,esh_1977
5snd,22,3D2,5s22d,45641.68,0.07,88,esh_1977
5snd,22,1D2,5s22d,45650.26,0.08,88,esh_1977
5snd,23,3D2,5s23d,45669.14,0.1,88,esh_1977
5snd,23,1D2,5s23d,45676.51,0.06,88,esh_1977
5snd,24,3D2,5s24d,45692.81,0.07,88,esh_1977
5snd,24,1D2,5s24d,45699.25,0.06,88,esh_1977
5snd,25,3D2,5s25d,45713.51,0.07,88,esh_1977
5snd,25,1D2,5s25d,45719.25,0.06,88,esh_1977
5snd,26,3D2,5s26d,45731.8,0.07,88,esh_1977
5snd,26,1D2,5s26d,45736.8,0.06,88,esh_1977
5snd,27,3D2,5s27d,45747.81,0.07,88,esh_1977
5snd,27,1D2,5s27d,45752.22,0.06,88,esh_1977
5snd,28,1D2,5s28d,45765.79,0.06,88,esh_1977
5snd,29,3D2,5s29d,45774.58,0.07,88,esh_1977
5snd,29,1D2,5s29d,45777.98,0.06,88,esh_1977
5snd,30,3D2,5s30d,45785.87,0.07,88,esh_1977
5snd,30,1D2,5s30d,45788.9,0.06,88,esh_1977
5snd,31,3D2,5s31d,45795.91,0.07,88,esh_1977
5snd,31,1D2,5s31d,45798.65,0.06,88,esh_1977
5snd,32,3D2,5s32d,45805.02,0.07,88,esh_1977
5snd,32,1D2,5s32d,45807.46,0.06,88,esh_1977
5snd,33,3D2,5s33d,45813.18,0.09,88,esh_1977
5snd,33,1D2,5s33d,45815.6,0.09,88,esh_1977
5snd,34,3D2,5s34d,45820.69,0.09,88,esh_1977
5snd,34,1D2,5s34d,45822.71,0.06,88,esh_1977
5snd,35,3D2,5s35d,45827.55,0.09,88,esh_1977
5snd,35,1D2,5s35d,45829.32,0.06,88,esh_1977
5snd,36,3D2,5s36d,45833.54,0.12,88,esh_1977
5snd,36,1D2,5s36d,45835.3,0.06,88,esh_1977
5snd,37,3D2,5s37d,45839.32,0.12,88,esh_1977
5snd,37,1D2,5s37d,45840.85,0.07,88,esh_1977
5snd,38,1D2,5s38d,45845.91,0.07,88,esh_1977
5snd,39,1D2,5s39d,45850.53,0.07,88,esh_1977
5snd,40,1D2,5s40d,45854.83,0.07,88,esh_1977
5snd,41,1D2,5s41d,45858.75,0.07,88,esh_1977
5snd,42,1D2,5s42d,45862.44,0.07,88,esh_1977
5snd,43,1D2,5s43d,45865.84,0.07,88,esh_1977
5snd,44,1D2,5s44d,45869.01,0.07,88,esh_1977
5snd,45,1D2,5s45d,45871.91,0.07,88,esh_1977
5snd,46,1D2,5s46d,45874.61,0.07,88,esh_1977
5snd,47,1D2,5s47d,45877.1,0.07,88,esh_1977
5snd,48,1D2,5s48d,45879.51,0.07,88,esh_1977
5snd,49,1D2,5s49d,45881.76,0.07,88,esh_1977
5snd,50,1D2,5s50d,45883.83,0.07,88,esh_1977
5snd,51,1D2,5s51d,45885.75,0.07,88,esh_1977
5snd,52,1D2,5s52d,45887.61,0.07,88,esh_1977
5snd,53,1D2,5s53d,45889.38,0.07,88,esh_1977
5snd,54,1D2,5s54d,45891.03,0.07,88,esh_1977
5snd,55,1D2,5s55d,45892.59,0.07,88,esh_1977
5snd,56,1D2,5s56d,45894.04,0.07,88,esh_1977
5snd,57,1D2,5s57d,45895.39,0.07,88,esh_1977
5snd,58,1D2,5s58d,45896.74,0.07,88,esh_1977
5snd,59,1D2,5s59d,45898.01,0.07,88,esh_1977
5snd,60,1D2,5s60d,45899.2,0.07,88,esh_1977
